"gene","description"
"MARK4","Mean FA (fractional anisotropy) in superior fronto-occipital fasciculus (right) on FA skeleton (from dMRI data);Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left acoustic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"MIR4531","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean OD (orientation dispersion index) in tract left corticospinal tract (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"MIR8085","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"NKPD1","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left acoustic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"PPP1R37","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left acoustic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"PVR","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean OD (orientation dispersion index) in tract left corticospinal tract (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"PVRL2","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"RELB","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left acoustic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"TOMM40","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
"TRAPPC6A","Mean FA (fractional anisotropy) in tapetum (right) on FA skeleton (from dMRI data);Mean MD (mean diffusivity) in splenium of corpus callosum on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean MD (mean diffusivity) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior corona radiata (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in posterior corona radiata (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L1 in superior longitudinal fasciculus (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean L2 in superior fronto-occipital fasciculus (right) on FA (fractional anisotropy) skeleton (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left acoustic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right corticospinal tract (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right posterior thalamic radiation (from dMRI data);Weighted-mean MD (mean diffusivity) in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean MD (mean diffusivity) in tract right superior thalamic radiation (from dMRI data);Weighted-mean L1 in tract right corticospinal tract (from dMRI data);Weighted-mean L1 in tract right posterior thalamic radiation (from dMRI data);Weighted-mean L1 in tract left superior longitudinal fasciculus (from dMRI data);Weighted-mean L1 in tract right superior thalamic radiation (from dMRI data);Weighted-mean L2 in tract forceps major (from dMRI data);Weighted-mean L2 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract left inferior longitudinal fasciculus (from dMRI data);Weighted-mean L3 in tract right posterior thalamic radiation (from dMRI data);Mean ICVF (intra-cellular volume fraction) in cerebral peduncle (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in posterior limb of internal capsule (right) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ICVF (intra-cellular volume fraction) in tapetum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean OD (orientation dispersion index) in sagittal stratum (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in posterior thalamic radiation (left) on FA (fractional anisotropy) skeleton (from dMRI data);Mean ISOVF (isotropic or free water volume fraction) in fornix cres+stria terminalis (left) on FA (fractional anisotropy) skeleton (from dMRI data)"
